,,봄 ( 3 ~ 5 ) ,*,*,여  름 ( 6 ~ 8 ) ,*,*,가  을 ( 9 ~ 11 ) ,*,*,겨  을 ( 12 ~ 2 ) ,*,*,
적용일자,발전기명,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일
2024-07-01,동탄열병합2CC,1.0152,1.0148,1.0159,1.0254,1.0191,1.0183,1.0295,1.025,1.029,1.0242,1.0205,1.0186
2024-07-01,광교열병합1CC,1.0176,1.013,1.0133,1.0318,1.0217,1.0196,1.0293,1.0229,1.0245,1.0266,1.0212,1.0183
2024-07-01,동두천복합#1CC,0.9954,0.996,0.9958,1.0021,0.9984,0.9997,1.0023,1.0026,1.005,1.0035,1.0041,0.9992
2024-07-01,동두천복합#2CC,0.9954,0.996,0.9958,1.0021,0.9984,0.9997,1.0023,1.0026,1.005,1.0035,1.0041,0.9992
2024-07-01,신평택복합CC,1.0118,1.0086,1.009,1.0174,1.0114,1.0105,1.0157,1.0119,1.0133,1.0162,1.0118,1.0092
2024-07-01,평택#1,1.0124,1.0094,1.0092,1.0191,1.0125,1.0111,1.017,1.013,1.0127,1.0174,1.0117,1.0085
2024-07-01,평택#2,1.0124,1.0094,1.0092,1.0191,1.0125,1.0111,1.017,1.013,1.0127,1.0174,1.0117,1.0085
2024-07-01,평택#3,1.0124,1.0094,1.0092,1.0191,1.0125,1.0111,1.017,1.013,1.0127,1.0174,1.0117,1.0085
2024-07-01,평택#4,1.0124,1.0094,1.0092,1.0191,1.0125,1.0111,1.017,1.013,1.0127,1.0174,1.0117,1.0085
2024-07-01,여수#1,0.9885,0.985,0.9854,1.0065,1.0057,1.0019,1.0026,0.9961,0.9884,1.0074,1.0062,0.998
2024-07-01,여수#2,0.9885,0.985,0.9854,1.0065,1.0057,1.0019,1.0026,0.9961,0.9884,1.0074,1.0062,0.998
2024-07-01,안산도시개발열병합,1.0134,1.0098,1.0091,1.0214,1.0127,1.0114,1.0188,1.0139,1.0136,1.0193,1.0135,1.0097
2024-07-01,수원열병합#1,1.0161,1.0148,1.0158,1.0274,1.0197,1.0183,1.03,1.0255,1.0291,1.0252,1.0214,1.0194
2024-07-01,대구열병합#1,0.9968,0.9838,0.9831,1.0373,1.0185,1.0142,1.0108,0.9906,0.9799,1.0235,1.0061,0.9921
2024-07-01,대산복합#2G/T,1.0016,1.0017,1.0034,1.0028,1.0009,1.0015,1.0072,1.0075,1.013,1.0058,1.0051,1.004
2024-07-01,대산복합#1C/C,1.0016,1.0017,1.0034,1.0028,1.0009,1.0015,1.0072,1.0075,1.013,1.0058,1.0051,1.004
2024-07-01,무림파워텍열병합,0.9994,0.9919,0.9891,1.0231,1.0137,1.0106,1.0138,1.002,0.9903,1.0245,1.0159,1.0058
2024-07-01,태안IGCC CC,0.9905,0.9936,0.994,0.9854,0.9866,0.9876,0.991,0.9924,0.9999,0.9872,0.9899,0.9907
2024-07-01,신보령#1,0.9951,0.9948,0.9936,0.9981,0.9967,0.996,0.9982,0.9969,0.9957,0.9993,0.9978,0.9974
2024-07-01,신보령#2,0.9951,0.9948,0.9936,0.9981,0.9967,0.996,0.9982,0.9969,0.9957,0.9993,0.9978,0.9974
2024-07-01,동해#1,0.9622,0.9656,0.9699,0.9653,0.962,0.9603,0.9659,0.9677,0.9764,0.9741,0.9694,0.9734
2024-07-01,동해#2,0.9622,0.9656,0.9699,0.9653,0.962,0.9603,0.9659,0.9677,0.9764,0.9741,0.9694,0.9734
2024-07-01,대구열병합CC,0.9968,0.9838,0.9831,1.0373,1.0185,1.0142,1.0108,0.9906,0.9799,1.0235,1.0061,0.9921
2024-07-01,대구열병합GT,0.9968,0.9838,0.9831,1.0373,1.0185,1.0142,1.0108,0.9906,0.9799,1.0235,1.0061,0.9921
2024-07-01,북평#1,0.9674,0.9707,0.9761,0.9716,0.9671,0.9663,0.9722,0.9726,0.982,0.9795,0.9756,0.9744
2024-07-01,북평#2,0.9674,0.9707,0.9761,0.9716,0.9671,0.9663,0.9722,0.9726,0.982,0.9795,0.9756,0.9744
2024-07-01,부산정관에너지#1CC,1.0158,1.0035,1.0003,1.0382,1.022,1.0192,1.0145,0.9996,0.9851,1.0234,1.0088,0.992
2024-07-01,고성1호기,0.9959,0.989,0.9839,1.0108,1.0011,0.9972,1.0007,0.9898,0.9767,1.0069,0.9967,0.9844
2024-07-01,고성2호기,0.9959,0.989,0.9839,1.0108,1.0011,0.9972,1.0007,0.9898,0.9767,1.0069,0.9967,0.9844
2024-07-01,당진#9,1.0005,1.0018,1.0026,1.0028,1.0005,1.0004,1.0054,1.005,1.01,1.0042,1.0039,1.0033
2024-07-01,당진#10,1.0005,1.0018,1.0026,1.0028,1.0005,1.0004,1.0054,1.005,1.01,1.0042,1.0039,1.0033
2024-07-01,삼척화력#1,0.9693,0.9717,0.9747,0.9709,0.9655,0.9651,0.9735,0.973,0.9814,0.9778,0.9733,0.973
2024-07-01,강릉안인#1,0.962,0.9661,0.9693,0.9672,0.9636,0.9615,0.9655,0.9666,0.974,0.9766,0.9723,0.9743
2024-07-01,강릉안인#2,0.962,0.9661,0.9693,0.9672,0.9636,0.9615,0.9655,0.9666,0.974,0.9766,0.9723,0.9743
2024-07-01,보령#3,1,1,1,1,1,1,1,1,1,1,1,1
2024-07-01,보령#4,1,1,1,1,1,1,1,1,1,1,1,1
2024-07-01,보령#5,1,1,1,1,1,1,1,1,1,1,1,1
2024-07-01,보령#6,1,1,1,1,1,1,1,1,1,1,1,1
2024-07-01,보령#7,1.0003,0.9996,0.9985,1.0015,0.9999,0.9994,1.0003,1.0005,0.9986,1.0035,1.0027,1.0013
2024-07-01,보령#8,1.0003,0.9996,0.9985,1.0015,0.9999,0.9994,1.0003,1.0005,0.9986,1.0035,1.0027,1.0013
2024-07-01,태안#1,0.9905,0.9936,0.994,0.9876,0.9878,0.9888,0.9922,0.9931,1.0002,0.9901,0.9921,0.993
2024-07-01,태안#2,0.9905,0.9936,0.994,0.9876,0.9878,0.9888,0.9922,0.9931,1.0002,0.9901,0.9921,0.993
2024-07-01,태안#3,0.9905,0.9936,0.994,0.9876,0.9878,0.9888,0.9922,0.9931,1.0002,0.9901,0.9921,0.993
2024-07-01,태안#4,0.9905,0.9936,0.994,0.9876,0.9878,0.9888,0.9922,0.9931,1.0002,0.9901,0.9921,0.993
2024-07-01,태안#5,0.9905,0.9936,0.994,0.9876,0.9878,0.9888,0.9922,0.9931,1.0002,0.9901,0.9921,0.993
2024-07-01,태안#6,0.9905,0.9936,0.994,0.9876,0.9878,0.9888,0.9922,0.9931,1.0002,0.9901,0.9921,0.993
2024-07-01,태안#7,0.9906,0.9945,0.9951,0.9876,0.9885,0.9888,0.9923,0.9933,1.0007,0.9901,0.992,0.9928
2024-07-01,태안#8,0.9906,0.9945,0.9951,0.9876,0.9885,0.9888,0.9923,0.9933,1.0007,0.9901,0.992,0.9928
2024-07-01,하동#1,0.9849,0.9841,0.9828,1.0022,0.9987,0.996,0.9966,0.9899,0.981,1.0021,1.0011,0.992
2024-07-01,하동#2,0.9849,0.9841,0.9828,1.0022,0.9987,0.996,0.9966,0.9899,0.981,1.0021,1.0011,0.992
2024-07-01,하동#3,0.9849,0.9841,0.9828,1.0022,0.9987,0.996,0.9966,0.9899,0.981,1.0021,1.0011,0.992
2024-07-01,하동#4,0.9849,0.9841,0.9828,1.0022,0.9987,0.996,0.9966,0.9899,0.981,1.0021,1.0011,0.992
2024-07-01,하동#5,0.9853,0.9827,0.9826,1.0016,0.999,0.9962,0.9962,0.9916,0.9824,1.0013,1.0001,0.9907
2024-07-01,하동#6,0.9853,0.9827,0.9826,1.0016,0.999,0.9962,0.9962,0.9916,0.9824,1.0013,1.0001,0.9907
2024-07-01,하동#7,0.9853,0.9827,0.9826,1.0016,0.999,0.9962,0.9962,0.9916,0.9824,1.0013,1.0001,0.9907
2024-07-01,하동#8,0.9853,0.9827,0.9826,1.0016,0.999,0.9962,0.9962,0.9916,0.9824,1.0013,1.0001,0.9907
2024-07-01,삼천포#3,0.9961,0.9919,0.9844,1.0109,1.0019,0.9981,1.0007,0.9895,0.9775,1.0067,0.9973,0.9857
2024-07-01,삼천포#4,0.9961,0.9919,0.9844,1.0109,1.0019,0.9981,1.0007,0.9895,0.9775,1.0067,0.9973,0.9857
2024-07-01,삼천포#5,0.9961,0.9919,0.9844,1.0109,1.0019,0.9981,1.0007,0.9895,0.9775,1.0067,0.9973,0.9857
2024-07-01,삼천포#6,0.9961,0.9919,0.9844,1.0109,1.0019,0.9981,1.0007,0.9895,0.9775,1.0067,0.9973,0.9857
2024-07-01,당진#1,1.0016,1.0017,1.0034,1.0028,1.0009,1.0015,1.0072,1.0075,1.013,1.0058,1.0051,1.004
2024-07-01,당진#2,1.0016,1.0017,1.0034,1.0028,1.0009,1.0015,1.0072,1.0075,1.013,1.0058,1.0051,1.004
2024-07-01,당진#3,1.0005,1.0018,1.0026,1.0028,1.0005,1.0004,1.0054,1.005,1.01,1.0042,1.0039,1.0033
2024-07-01,당진#4,1.0005,1.0018,1.0026,1.0028,1.0005,1.0004,1.0054,1.005,1.01,1.0042,1.0039,1.0033
2024-07-01,당진#5,1.0005,1.0018,1.0026,1.0028,1.0005,1.0004,1.0054,1.005,1.01,1.0042,1.0039,1.0033
